Speech intention	Time_adapted	Speech specific	Wizard	Filename	Expression specific	Vp_num	Study progress (coarse)	Addressee final (reduced)	Wizard addressee	Speech politeness	Annotator	Robot speech	Addressee final	Apartment time	Apartment door state	Study progress (detailed)	Condition	Apartment call	Cupboard door state	Cupboard handle sound	Focus of attention (reduced)	Order	Displayed Text	Speech form of address	Cupboard handle light	Speech type of sentence	Expression (facial, gestural, verbal)	Apartment parcel	Method	Radio	Robot gesture	Focus of attention	Method specific	Wizard task
	0		Aufgabe 7 Stehlampe	VP17_R1-verbal_PH.eaf		17	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP berührt mehrfach die Stehlampe oben	7
Kommunikationsversuch	0	__Wie spät ist es?__	Aufgabe 6 Apartment	VP17_R1-verbal_PH.eaf		17	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	verbal				Unspecific	1		with Name		Question (sentence)	unobserved		speech			Unspecific	VP fragt: __Wie spät ist es?__	6
	0		Aufgabe 1 Apartment	VP17_R1-verbal_PH.eaf		17	Task solution	Light in the hallway \(L_H\)	Apartment	unobserved	PH		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	1		unobserved		unobserved	unobserved		gesture			Light in the hallway \(L_H\)	VP winkt dem Licht im Flur zu	1
Kommunikationsversuch	0	__Musik.__	Aufgabe 3 Apartment	VP17_R1-verbal_PH.eaf		17	Task solution	Not discernible	Apartment	neutral	PH		Not discernible			Lösungsversuch	verbal				Not discernible	1		with Name		Command (words)	unobserved		speech			Not discernible	VP guckt zur Decke und sagt: __Musik__. Möglicherweise ist dort ein Box	3
Kommunikationsversuch	0	__Licht im Flur aus.__	Aufgabe 2 Apartment	VP17_R1-verbal_PH.eaf		17	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	PH		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	1		with Name		Command (words)	unobserved		speech			Light in the hallway \(L_H\)	VP sagt: __Licht im Flur aus.__	2
	0		Aufgabe 7 Stehlampe	VP17_R1-verbal_PH.eaf		17	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP berührt mehrfach die Stehlampe oben	7
	0		Aufgabe 7 Stehlampe	VP20_R2-verbal_ES.eaf	VP ist überrascht, als das Licht zufällig angegangen ist	20	Task solution	Unspecific	Floor lamp \(L_F\)	unobserved	ES		Unspecific			Lösungsversuch	verbal				Floor lamp \(L_F\)	2		unobserved		unobserved	surprised		gesture			Floor lamp \(L_F\)	VP schaut sich die Lampe an, macht wieder eine fragende Handbewegung in der Nähe der Lampe, das Licht geht an	7
Kommunikationsversuch	452	__War die Post auch schon hier?__	Aufgabe 4 Roboter	VP20_R2-verbal_ES.eaf		20	Task solution	Robot	Robot	polite	ES		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __war die Post auch schon hier?__	4
Kommunikationsversuch	0	__Und wo ist der Radio?__	Aufgabe 3 Roboter	VP20_R2-verbal_ES.eaf		20	Task solution	Robot	Robot	polite	ES		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __Und wo ist der Radio?__	3
Kommunikationsversuch	0	__Kannst du das wieder ab...schalten?__	Aufgabe 2 Roboter	VP20_R2-verbal_ES.eaf		20	Task solution	Robot	Robot	polite	ES		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter:__Kannst du das wieder ab...schalten?__	2
Kommunikationsversuch	0	__Wie spät ist es jetzt?__	Aufgabe 6 Roboter	VP20_R2-verbal_ES.eaf		20	Task solution	Robot	Robot	polite	ES		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __wie spät ist es jetzt?__	6
Kommunikationsversuch	0	__Hat heute schon jemand für mich angerufen?__	Aufgabe 5 Roboter	VP20_R2-verbal_ES.eaf		20	Task solution	Robot	Robot	polite	ES		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __Hat heute schon jemand für mich angerufen?__	5
Kommunikationsversuch	0	__Kannst du mir helfen im Flur ein Licht anzumachen?__	Aufgabe 1 Roboter	VP20_R2-verbal_ES.eaf		20	Task solution	Robot	Robot	neutral	ES		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __Kannst du mir helfen im Flur ein Licht anzumachen?__	1
	0		Aufgabe 7 Stehlampe	VP20_R2-verbal_PH.eaf	VP wirkt unsicher	20	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	2		unobserved		unobserved	baffled		gesture			Floor lamp \(L_F\)	VP macht mit der offenen Hand zweimal eine Wischbewegung anch oben	7
Kommunikationsversuch	1801	__War die Post auch schon hier?__	Aufgabe 4 Roboter	VP20_R2-verbal_PH.eaf		20	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	Vp fragt den Roboter: __war die Post auch schon hier?__	4
Kommunikationsversuch	317	__Wo ist der Radio?__	Aufgabe 3 Roboter	VP20_R2-verbal_PH.eaf		20	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __Wo ist der Radio?__	3
Kommunikationsversuch	116	__Kannst du es auch wieder abschalten?__	Aufgabe 2 Roboter	VP20_R2-verbal_PH.eaf		20	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt Roboter: __Kannst du es auch wieder abschalten?__	2
Kommunikationsversuch	0	__Wie spät ist es jetzt?__	Aufgabe 6 Roboter	VP20_R2-verbal_PH.eaf		20	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	__Wie spät ist es jetzt?__, fragt die VP den Roboter. 	6
Kommunikationsversuch	0	__Hat heute schon Jemand für mich angerufen?__	Aufgabe 5 Roboter	VP20_R2-verbal_PH.eaf		20	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __Hat heute schon Jemand für mich angerufen?__	5
Kommunikationsversuch	0	__Kannst du mir helfen im Flur ein Licht anzumachen?__	Aufgabe 1 Roboter	VP20_R2-verbal_PH.eaf		20	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt Roboter: __Kannst du mir helfen im Flur ein Licht anzumachen?__	1
	0		Aufgabe 7 Stehlampe	VP21_R1-verbal_ES.eaf		21	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		gesture			Floor lamp \(L_F\)	VP macht Handbewegungen an der Lampe entlang, berührt die aber nicht	7
	0		Aufgabe 2 Apartment	VP21_R1-verbal_ES.eaf		21	Task solution	Parts of the apartment	Apartment	unobserved	ES		Sliding door (between hallway and kitchen)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	1		unobserved		unobserved	unobserved		touch			Light in the hallway \(L_H\)	VP schlißt die Schiebetür	2
	0		Aufgabe 1 Apartment	VP21_R1-verbal_ES.eaf		21	Task solution	Light in the hallway \(L_H\)	Apartment	unobserved	ES		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	1		unobserved		unobserved	unobserved		gesture			Light in the hallway \(L_H\)	VP macht winkende Bewebungen mir demArm nach oben zur Lampe gerichtet	1
Kommunikationsversuch	0		Aufgabe 4 Roboter	VP21_R1-verbal_ES.eaf		21	Task solution	Robot	Robot	neutral	ES		Robot			Lösungsversuch	verbal				Robot	1		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __ist ein Paket für mich angekommen?__	4
Kommunikationsversuch	0	__Ich möchte Musik hören__	Aufgabe 3 Roboter	VP21_R1-verbal_ES.eaf		21	Task solution	Robot	Robot	neutral	ES		Robot			Lösungsversuch	verbal				Robot	1		with Name		Statement (sentence)	neutral		speech			Robot	VP spricht den Roboter an: __Ich möchte Musik hören__	3
Kommunikationsversuch	0	__Wieviel Uhr ist es gerade?__	Aufgabe 6 Roboter	VP21_R1-verbal_ES.eaf		21	Task solution	Robot	Robot	neutral	ES		Robot			Lösungsversuch	verbal				Robot	1		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt Roboter: __wieviel Uhr ist es gerade?__	6
Kommunikationsversuch	0	__Hat jemand für mich angerufen?__	Aufgabe 5 Roboter	VP21_R1-verbal_ES.eaf		21	Task solution	Robot	Robot	neutral	ES		Robot			Lösungsversuch	verbal				Robot	1		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt Roboter: __Hat jemand für mich angerufen?__	5
	0		Aufgabe 7 Stehlampe	VP21_R1-verbal_PH.eaf		21	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		gesture			Floor lamp \(L_F\)	VP winkt mit ihrem ausgestreckten Arm oberhalb der Lampe. Dann winkt sie hoch und runter an der Seite der Lampe	7
	0		Aufgabe 2 Apartment	VP21_R1-verbal_PH.eaf		21	Task reading	Parts of the apartment	Apartment	unobserved	PH		Sliding door (between hallway and kitchen)			Lösungsversuch	verbal				Parts of the apartment	1		unobserved		unobserved	unobserved		touch			Sliding door (between hallway and kitchen)	VP schließt die Tür. Wirkt aber unsicher, ob das richtig ist	2
	0		Aufgabe 1 Apartment	VP21_R1-verbal_PH.eaf		21	Task solution	Light in the hallway \(L_H\)	Apartment	unobserved	PH		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	1		unobserved		unobserved	unobserved		gesture			Light in the hallway \(L_H\)	VP winkt dem Flurlicht mit dem rechten Arm zu	1
Kommunikationsversuch	0	__Ist ein Paket für mich angekommen?__	Aufgabe 4 Roboter	VP21_R1-verbal_PH.eaf		21	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	1		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt: __Ist ein Paket für mich angekommen?__	4
Kommunikationsversuch	0	__Ich möchte Musik hören.__	Aufgabe 3 Roboter	VP21_R1-verbal_PH.eaf		21	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	1		with Name		Command (sentence)	unobserved		speech			Robot	VP sagt zum Roboter: __Ich möchte Musik hören.__	3
	0		Aufgabe 6 Roboter	VP21_R1-verbal_PH.eaf		21	Task solution	Robot	Robot	unobserved	PH		Robot			Lösungsversuch	verbal				Robot	1		unobserved		unobserved	unobserved		speech			Robot	VP fragt den Roboter: __Wie spät ist es gerade?__	6
Kommunikationsversuch	0	__Hat jemand für mich angerufen?__	Aufgabe 5 Roboter	VP21_R1-verbal_PH.eaf		21	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	1		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt: __Hat jemand für mich angerufen?__	5
Kommunikationsversuch	0	__An. Post?__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Parts of the apartment	Apartment	neutral	PH		Screen (kitchen on worktop)			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (words)	unobserved		speech			Screen (kitchen on worktop)	VP sagt __An. Post?__	4
Kommunikationsversuch	0	__Auf. Post? Auf.__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf	VP scheint nicht zu wissen, was sie machen soll	22	Task solution	Parts of the apartment	Apartment	neutral	PH		Cupboard door			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (words)	baffled		Kombination mehrerer Verhaltensweisen			Cupboard door	VP guckt in den Paketschrank und findet dann dort das Paket (Konservativ). Macht den Schrank dann zu und sagt: __Auf. Post? Auf.__ Macht den Schrank dann nochmal auf	4
Kommunikationsversuch	0	__Auf. Post? Auf.__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf	VP scheint nicht zu wissen, was sie machen soll	22	Task solution	Parts of the apartment	Apartment	neutral	PH		Cupboard door			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (words)	baffled		Kombination mehrerer Verhaltensweisen			Cupboard door	VP guckt in den Paketschrank und findet dann dort das Paket (Konservativ). Macht den Schrank dann zu und sagt: __Auf. Post? Auf.__ Macht den Schrank dann nochmal auf	4
	0		Aufgabe 7 Stehlampe	VP22_R2-nonverbal_PH.eaf	Unsicher, wann Aufgabe beendet ist	22	Task solution	Not discernible	Floor lamp \(L_F\)	unobserved	PH		Not discernible			Lösungsversuch	nonverbal				Not discernible	2		unobserved		unobserved	baffled		touch			Not discernible	VP fasst mehrfach oben auf die Lampe. Macht dann auch Wischbewegungen oberhalb der La,pe. Wirkt unsicher, ob sie die Aufgabe gelöst hat	7
	0		Aufgabe 7 Stehlampe	VP22_R2-nonverbal_PH.eaf	Unsicher, wann Aufgabe beendet ist	22	Task solution	Not discernible	Floor lamp \(L_F\)	unobserved	PH		Not discernible			Lösungsversuch	nonverbal				Not discernible	2		unobserved		unobserved	baffled		touch			Not discernible	VP fasst mehrfach oben auf die Lampe. Macht dann auch Wischbewegungen oberhalb der La,pe. Wirkt unsicher, ob sie die Aufgabe gelöst hat	7
	0		Aufgabe 7 Stehlampe	VP22_R2-nonverbal_PH.eaf	Unsicher, wann Aufgabe beendet ist	22	Task solution	Not discernible	Floor lamp \(L_F\)	unobserved	PH		Not discernible			Lösungsversuch	nonverbal				Not discernible	2		unobserved		unobserved	baffled		touch			Not discernible	VP fasst mehrfach oben auf die Lampe. Macht dann auch Wischbewegungen oberhalb der La,pe. Wirkt unsicher, ob sie die Aufgabe gelöst hat	7
	0		Aufgabe 7 Stehlampe	VP22_R2-nonverbal_PH.eaf	Unsicher, wann Aufgabe beendet ist	22	Task solution	Not discernible	Floor lamp \(L_F\)	unobserved	PH		Not discernible			Lösungsversuch	nonverbal				Not discernible	2		unobserved		unobserved	baffled		touch			Not discernible	VP fasst mehrfach oben auf die Lampe. Macht dann auch Wischbewegungen oberhalb der La,pe. Wirkt unsicher, ob sie die Aufgabe gelöst hat	7
Kommunikationsversuch	0	__Post?__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Parts of the apartment	Apartment	neutral	PH		Screen (entrance)			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (words)	unobserved		speech			Screen (entrance)	VP fragt den Bildschirm am Apartmenteingang: __Post?__	4
Kommunikationsversuch	0	__Post?__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Parts of the apartment	Apartment	neutral	PH		Screen (kitchen on worktop)			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (words)	unobserved		speech			Screen (kitchen on worktop)	VP fragt Bildschirm auf der Arbeitsplatte in der Küche: __Post?__	4
Kommunikationsversuch	0	__Post?__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Parts of the apartment	Apartment	neutral	PH		Tablets in hallway			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (words)	unobserved		speech			Tablets in hallway	VP fragt __Post?__	4
Kommunikationsversuch	0	__Post?__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	nonverbal				Unspecific	2		with Name		Question (words)	unobserved		speech			Unspecific	VP fragt in den Raum __Post?__	4
Kommunikationsversuch	91	__Post?__	Aufgabe 4 Roboter	VP22_R2-nonverbal_PH.eaf		22	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	nonverbal				Robot	2		with Name		Question (words)	unobserved		speech			Robot	VP fragt den Roboter __Post?__	4
Kommunikationsversuch	0	__Paket?__ und danach: __Post?__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Parts of the apartment	Apartment	neutral	PH		Screen (living room wall)			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (words)	unobserved		speech			Screen (living room wall)	VP fragt: __Paket?__ und kurz darauf: __Post?__	4
Kommunikationsversuch	0	__Post?__	Aufgabe 4 Roboter	VP22_R2-nonverbal_PH.eaf		22	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	nonverbal				Unspecific	2		with Name		Question (words)	unobserved		speech			Unspecific	VP fragt den Roboter __Post?__	4
Kommunikationsversuch	0	__Post? Post?__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Parts of the apartment	Apartment	neutral	PH		Screen (entrance)			Lösungsversuch	nonverbal				Unspecific	2		with Name		Question (words)	unobserved		speech			Unspecific	VP fragt den Bildschirm am Apartmenteingang: __Post?.__	4
Kommunikationsversuch	0	__Post,Post?__	Aufgabe 4 Roboter	VP22_R2-nonverbal_PH.eaf		22	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	nonverbal				Robot	2		with Name		Question (words)	unobserved		speech			Robot	VP fragt: __Post, Post?__	4
Kommunikationsversuch	0	__Post?__	Aufgabe 4 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Parts of the apartment	Apartment	neutral	PH		Screen (living room wall)			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (words)	unobserved		speech			Screen (living room wall)	VP fragt __Post?__	4
Kommunikationsversuch	0	__Licht?__	Aufgabe 1 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	PH		Light in the hallway \(L_H\)			Lösungsversuch	nonverbal				Light in the hallway \(L_H\)	2		with Name		Question (words)	unobserved		speech			Light in the hallway \(L_H\)	VP guckt Licht im Flur an und fragt: __Licht?__	1
Kommunikationsversuch	0	__Musik.__	Aufgabe 3 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	nonverbal				Unspecific	2		with Name		Command (words)	unobserved		speech			Unspecific	VP sagt: __Musik__	3
Kommunikationsversuch	0	__Licht aus.__	Aufgabe 2 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	PH		Light in the hallway \(L_H\)			Lösungsversuch	nonverbal				Light in the hallway \(L_H\)	2		with Name		Command (words)	unobserved		speech			Light in the hallway \(L_H\)	VP sagt __Licht aus.__	2
Kommunikationsversuch	0	__Uhrzeit?__	Aufgabe 6 Apartment	VP22_R2-nonverbal_PH.eaf		22	Task solution	Parts of the apartment	Apartment	neutral	PH		Screen (living room wall)			Lösungsversuch	nonverbal				Parts of the apartment	2		with Name		Question (words)	unobserved		speech			Screen (living room wall)	VP fragt __Uhrzeit?__	6
Kommunikationsversuch	1036	__Anruf?__	Aufgabe 5 Roboter	VP22_R2-nonverbal_PH.eaf		22	Task solution	Unspecific	Robot	neutral	PH		Unspecific			Lösungsversuch	nonverbal				Unspecific	2		with Name		Question (words)	unobserved		speech			Unspecific	VP fragt __Anruf?__	5
	0		Aufgabe 7 Stehlampe	VP23_R1-nonverbal_PH.eaf		23	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		gesture			Floor lamp \(L_F\)	VP macht Wischbewegungen oberhalb und seitlich der Lampe	7
	0		Aufgabe 2 Apartment	VP23_R1-nonverbal_PH.eaf		23	Task solution	Parts of the apartment	Apartment	unobserved	PH		Switches (entrance)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	unobserved		gesture			Switches (entrance)	Nicht klar erkennbar, es sieht aus wie eine Wischbewegung vor dem Schalter	2
	0		Aufgabe 1 Apartment	VP23_R1-nonverbal_PH.eaf		23	Task solution	Parts of the apartment	Apartment	unobserved	PH		Screen (entrance)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	unobserved		gesture			Screen (entrance)	VP macht zwei Bewegungen: einmal  eine Art Schlagbewegung in Richtung eines Schalters, dann eine Wischbewegung vor einem Bildschirm am Apartmenteingang	1
	0		Aufgabe 4 Apartment	VP23_R1-nonverbal_PH.eaf		23	Task solution	Parts of the apartment	Apartment	unobserved	PH		Screen (entrance)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	unobserved		touch			Screen (entrance)	VP berührt den Bildschirm am Apartmenteingang	4
	0		Aufgabe 3 Apartment	VP23_R1-nonverbal_PH.eaf		23	Task solution	Parts of the apartment	Apartment	unobserved	PH		Screen (living room table)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	unobserved		touch			Screen (living room table)	VP berührt und macht Wischbewegungen über den Tisch	3
	0		Aufgabe 6 Apartment	VP23_R1-nonverbal_PH.eaf		23	Task solution	Parts of the apartment	Apartment	unobserved	PH		Screen (living room table)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	unobserved		touch			Screen (living room table)	VP berührt wieder den Tisch	6
	0		Aufgabe 5 Apartment	VP23_R1-nonverbal_PH.eaf	VPlacht über ihren eigenen Lösungsversuch	23	Task solution	Parts of the apartment	Apartment	unobserved	PH		Screen (living room table)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	curious		touch			Screen (living room table)	VP berührt mehrfach den Bildschirm	5
Kommunikationsversuch	18426	__Ist für mich ein paket angekommen?__	Aufgabe 4 Roboter	VP24_R2-verbal_PH.eaf		24	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt: __Ist für mich ein Paket angekommen?__	4
Kommunikationsversuch	1306	__Ist für mich ein paket angekommen?__	Aufgabe 4 Roboter	VP24_R2-verbal_PH.eaf		24	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt: __Ist für mich ein Paket angekommen?__	4
	0		Aufgabe 7 Stehlampe	VP24_R2-verbal_PH.eaf		24	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH	Es wurde ein Pakeht angenommen, es befindet sich in der Küche	Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	2		unobserved		unobserved	unobserved		touch		all pointing_kitchen	Floor lamp \(L_F\)	VP berührt die Lmpe mehrfach oben am Rand	7
	0		Aufgabe 1 Apartment	VP24_R2-verbal_PH.eaf		24	Task solution	Parts of the apartment	Apartment	unobserved	PH		Screen (entrance)			Lösungsversuch	verbal				Parts of the apartment	2		unobserved		unobserved	unobserved		touch			Screen (entrance)	VP berührt den Bildschirm am Apartmenteingang	1
Kommunikationsversuch	0	__Musik an.__	Aufgabe 3 Apartment	VP24_R2-verbal_PH.eaf		24	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	verbal				Unspecific	2		with Name		Command (words)	unobserved		speech			Unspecific	VP sagt in den Raum: __Musik an.__	3
Kommunikationsversuch	0	__Licht aus.__	Aufgabe 2 Apartment	VP24_R2-verbal_PH.eaf		24	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	PH		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	2		with Name		Command (words)	unobserved		speech			Light in the hallway \(L_H\)	VP sagt: __Licht aus.__	2
Kommunikationsversuch	0	__Wie spät ist es?__	Aufgabe 6 Roboter	VP24_R2-verbal_PH.eaf	VP lächelt	24	Task solution	Robot	Robot	polite	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	joyful		speech			Robot	VP fragt: __Wie spät ist es?__ und scheint zu lächeln	6
Kommunikationsversuch	0	__Hat jemand für mich angerufen?__	Aufgabe 5 Roboter	VP24_R2-verbal_PH.eaf		24	Task solution	Robot	Robot	polite	PH		Robot			Lösungsversuch	verbal				Robot	2		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt den Roboter: __Hat jemand für mich angerufen?__	5
Kommunikationsversuch	30475	__Uhrzeit.__	Aufgabe 7 Stehlampe	VP25_R1-verbal_PH.eaf		25	Task solution	Unspecific	Floor lamp \(L_F\)	neutral	PH		Unspecific	Zeit		Lösungsversuch	verbal				Unspecific	1		with Name		Command (words)	unobserved		speech			Unspecific	VP sagt Uhrzeit und guckt hoch	7
Kommunikationsversuch	0	__Uhrzeit.__	Aufgabe 6 Apartment	VP25_R1-verbal_PH.eaf		25	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	verbal				Unspecific	1		with Name		Command (words)	unobserved		speech			Unspecific	VP sagt Uhrzeit und guckt hoch	6
	0		Aufgabe 7 Stehlampe	VP25_R1-verbal_PH.eaf		25	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	PH		Floor lamp \(L_F\)			Lösungsversuch	verbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP berührt die Stehlampe	7
Kommunikationsversuch	63395	__Uhrzeit.__	Aufgabe 7 Stehlampe	VP25_R1-verbal_PH.eaf		25	Task solution	Unspecific	Floor lamp \(L_F\)	neutral	PH		Unspecific	Zeit		Lösungsversuch	verbal				Unspecific	1		with Name		Command (words)	unobserved		speech			Unspecific	VP sagt Uhrzeit und guckt hoch	7
	0		Aufgabe 1 Apartment	VP25_R1-verbal_PH.eaf		25	Task solution	Light in the hallway \(L_H\)	Apartment	unobserved	PH		Light in the hallway \(L_H\)			Lösungsversuch	verbal				Light in the hallway \(L_H\)	1		unobserved		unobserved	unobserved		Fortbewegung			Light in the hallway \(L_H\)	VP guckt kurz zum Licht im Flur und geht dann durch die Küchentür	1
Kommunikationsversuch	0	__Musik.__	Aufgabe 3 Apartment	VP25_R1-verbal_PH.eaf		25	Task solution	Parts of the apartment	Apartment	neutral	PH		Loudspeaker (by the fridge)			Lösungsversuch	verbal				Parts of the apartment	1		with Name		Command (words)	unobserved		speech			Loudspeaker (by the fridge)	VP guckt die weiße Lautsprecherbox an und sagt: Musik	3
	0		Aufgabe 2 Apartment	VP25_R1-verbal_PH.eaf		25	Task solution	Parts of the apartment	Apartment	unobserved	PH		Sliding door (between hallway and kitchen)			Lösungsversuch	verbal				Parts of the apartment	1		unobserved		unobserved	unobserved		touch			Sliding door (between hallway and kitchen)	VP schließt die Apartmenttür	2
Kommunikationsversuch	0	__Anrufe.__	Aufgabe 5 Apartment	VP25_R1-verbal_PH.eaf		25	Task solution	Unspecific	Apartment	neutral	PH		Unspecific			Lösungsversuch	verbal				Unspecific	1		with Name		Command (words)	unobserved		speech			Unspecific	VP sagt: __Anrufe.__	5
